occurrence_no,identified_name,identified_rank,accepted_name,accepted_rank,early_interval,max_ma,min_ma,ref_pubyr,phylum,class,order,family,genus,lng,lat,state,county,paleolng,paleolat,geoplate,cc,lithdescript,lithology1,lithadj1,lithification1,environment,tectonic_setting,geology_comments,assembl_comps,pres_mode,collection_type,taxonomy_comments,taxon_environment,motility,vision,diet,genus
1506,Kootenia sp.,genus,Kootenia,genus,Ordian,516,513,1983,Arthropoda,Trilobita,Corynexochida,Dorypygidae,Kootenia,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,actively mobile,well-developed,carnivore,Kootenia
1507,Asaphiscus sp.,genus,Asaphiscus,genus,Ordian,516,513,1983,Arthropoda,Trilobita,Olenida,Asaphiscidae,Asaphiscus,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,fast-moving,well-developed,carnivore,Asaphiscus
1508,Peronopsis sp.,genus,Peronopsis,genus,Ordian,516,513,1983,Arthropoda,Trilobita,Agnostida,Peronopsidae,Peronopsis,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,slow-moving,blind,detritivore,Peronopsis
1509,Biconulites sp.,genus,Biconulites,genus,Ordian,516,513,1983,Problematica,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Biconulites,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,,,,Biconulites
1510,Hyolithes sp.,genus,Hyolithes,genus,Ordian,516,513,1983,Hyolitha,NO_CLASS_SPECIFIED,Hyolithida,Hyolithidae,Hyolithes,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,facultatively mobile,blind,suspension feeder,Hyolithes
1511,Helcionella sp.,genus,Helcionella,genus,Ordian,516,513,1983,Mollusca,Helcionelloida,Helcionellida,Helcionellidae,Helcionella,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,slow-moving,blind,detritivore,Helcionella
1512,Eocystites sp.,genus,Eocystites,genus,Ordian,516,513,1983,Echinodermata,Eocrinoidea,Ascocystitida,NO_FAMILY_SPECIFIED,Eocystites,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,"stationary, attached",blind,suspension feeder,Eocystites
1513,Acrothele sp.,genus,Acrothele,genus,Ordian,516,513,1983,Brachiopoda,Lingulata,Lingulida,Acrothelidae,Acrothele,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,"stationary, attached",blind,suspension feeder,Acrothele
1514,Lingulella sp.,genus,Lingulella,genus,Ordian,516,513,1983,Brachiopoda,Lingulata,Lingulida,Obolidae,Lingulella,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,facultatively mobile,blind, ,Lingulella
1515,Bohemiella ? sp.,genus,Bohemiella,genus,Ordian,516,513,1983,Brachiopoda,Rhynchonellata,Orthida,Bohemiellidae,Bohemiella,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,"stationary, attached",blind,suspension feeder,Bohemiella
1516,Nisusia ? sp.,genus,Nisusia,genus,Ordian,516,513,1983,Brachiopoda,Kutorginata,Kutorginida,Nisusiidae,Nisusia,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,stationary,blind,suspension feeder,Nisusia
1517,Orthida indet.,order,Orthida,order,Ordian,516,513,1983,Brachiopoda,Rhynchonellata,Orthida,,,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,"stationary, attached",blind,suspension feeder,
1518,Syntrophiidae ? indet.,family,Syntrophiidae,family,Ordian,516,513,1983,Brachiopoda,Rhynchonellata,Pentamerida,Syntrophiidae,,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,,stationary,blind,suspension feeder,
1519,Rankenella mors,species,Rankenella mors,species,Ordian,516,513,1983,Porifera,Demospongea,Lithistida,Anthaspidellidae,Rankenella,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,"stationary, attached",,suspension feeder,Rankenella
